名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
VIADNA,广州威纳信息科技有限公司,"""THE DNA成立于2001年，位于首尔黄金地段江南,现设计企划人员80名，为中韩各大企业培育了众多UX精英人才。服务领域由早期UX中的UI,GUI为主核心,发展出Web规划经营事业部及服务设计部，让体验跨越产品及界面的本身,衍生到从接触item讯息到购买产品并使用,一直到使用后的相关服务, 导出Before-Ing -After中各个产品与用户间的Touch Point形成更完整的用户体验链，搭建用户与企业的沟通桥梁，从而晋升为整合型的数位媒体交互体验咨询公司。 """,广州威纳信息科技有限公司,广州市越秀区环市东路362-366号1303房,440101000266062,2014-04-01,张翼,1428.5714万元人民币,91440101093664032U,www.viadna.com
凯凯农科,甘肃凯凯农业科技发展股份有限公司,甘肃凯凯农业科技发展股份有限公司成立于2009年9月，是马铃薯脱毒苗、原原种和原种、一级种育繁推一体化、产学研相结合的省级龙头企业。企业荣获定西市政府质量奖、省市科技进步奖，被认定为中国种子协会单位、省级重点龙头企业、省级企业工程技术研究中心、省级技术创新示范企业、甘肃省名优诚信企业，被评为甘肃名牌产品、3A级银行信用企业，AA级质量信用企业，企业通过了绿色食品认证、质量管理体系认证、环境管理体系认证。未来，公司还将以定西马铃薯产业为平台，借助资本市场更加雄厚的实力，大力发展马铃薯产业，从研发、种植、储藏、,甘肃凯凯农业科技发展股份有限公司,甘肃省定西市安定区西川园区,621102200004137,2009-09-09,李恺,7255万元人民币,91621100690390885Y,www.gskknk.com
谊联胜,上海谊联胜实业有限公司,谊联胜为网络科技公司，旗下品牌“精鹰汇“是创新型高端服务平台和商务社交平台。,上海谊联胜实业有限公司,上海市浦东新区东方路3261号B座2501室,310115002139682,2013-07-01,金蓓,500万元人民币,91310115072912551M,www.isweetalk.com
星雅假日,深圳市星雅假日信息科技有限公司,星雅假日推出先旅游后付费的旅游消费模式，突破传统旅游模式，成为消费者和市场关注的热点。,深圳市星雅假日信息科技有限公司,,440301105362330,2011-04-28,丁志勇,617.284万元人民币,914403006894002656,www.xingyatrip.com
八亿时空,北京八亿时空液晶科技股份有限公司,"""公司专注于液晶显示面板的上游,主要服务于下游液晶面板企业,主营业务为液晶材料的研发、生产和销售。""",北京八亿时空液晶科技股份有限公司,北京市房山区燕山东风街道石化新材料科技产业基地核心区东区B2-36-01地块,110114007306117,2004-07-09,赵雷,7235.476万元人民币,9111030476502352X0,www.81lcd.com.cn
恺思睿思,北京恺思睿思信息技术有限公司,北京恺思睿思信息技术有限公司是一家致力于采集和应用ToB的商业大数据的创业公司，公司的业务聚焦于两个方向：1、ToB智能营销。建立全国范围的企业画像，通过大数据技术帮助ToB销售的企业找到合适客户，提升销售效率，应对市场和竞争风险，提高企业效益；2、行业大数据项目咨询和开发。输出大数据经验、技术和能力，帮助大数据在传统行业的实施落地，建设一批有示范效应的行业典型案例，推动大数据技术与传统行业的深度融合。,北京恺思睿思信息技术有限公司,北京市昌平区科技园区超前路37号院16号楼2层B0004号,110113013114343,2010-08-09,王江,355.555615万元人民币,911101145604119755,www.shangwuzhushou.com
创帛智能,上海创帛智能科技有限公司,创帛智能是一个以机器视觉为核心的自动化设备集成提供商，典型机器视觉应用包括检测缺陷、监控生产线、引导装配机器人以及跟踪、分类和识别零件。一直专注于机器视觉、图象处理、CCD检测的开发及应用；以及自动化设备的开发应用及技术支持。,上海创帛智能科技有限公司,上海市嘉定区福海路1011号3幢B区1299室,310114002881483,2015-03-26,邵加艳,300万元人民币,91310114332420503E,www.ivbi.com.cn
武汉光至,武汉光至科技有限公司,武汉光至是一家激光机电产品技术咨询和开发服务商。从事高功率连续、纳秒脉冲以及超快脉冲光纤激光器的研发和生产，并提供激光相关的机电产品的技术咨询和开发服务，致力于利用激光这一先进的技术手段，照亮传统制造领域，为社会创造增量价值。,武汉光至科技有限公司,武汉市东湖新技术开发区高新四路28号武汉光谷电子工业园三期2号厂房4层1号,,2018-05-31,黄志华,375万元人民币,91420100MA4KYQXE3T,www.gzlasertech.com
天能云,天合云能源互联网技术（杭州）有限公司,天能云（TrinaAurora）是天合光能集团旗下能源云平台品牌，隶属于天合云能源互联网技术（杭州）有限公司（以下简称：天合云能源）。天合云能源依托天合光能雄厚的新能源行业背景，坚持“开放、互利、共赢”的合作策略，以能源大数据为基础，云平台为支撑，能源用户为核心，用物联网和互联网技术贯通线上线下价值链和能源行业产业链。天合云能源通过打造光伏云、储能云、充电云、运维云、能效云、售电云等为基础的开放性应用平台，以独特的理念搭建智慧能源云。通过云端监测、管理、统计、分析等，为所有在天能云平台上的不同用户提供全面的数据分析，专业的诊断治理，实时的运维售后、高效的解决方案，使其获得所需的数据，状态，报告，运维，设计，改造，收益，金融，电能治理，投资咨询等线上线下综合服务和资讯。推动着物、能、数字全面的连接，实现“三位一体”的能源物联网新体系。,天合云能源互联网技术（杭州）有限公司,浙江省杭州市滨江区长河街道滨安路650号1幢2206室,,2018-03-26,刘海鹏,5000万人民币,91330108MA2B1H0N02,www.trinasolar.com
通号工程局,通号工程局集团北京通信信息系统集成有限公司,通号工程局集团北京系统集成有限公司是一家计算机服务公司，主要服务是打造以通信、信号系统集成及项目管理为核心竞争力。隶属于中央企业中国通号集团。,通号工程局集团北京通信信息系统集成有限公司,北京市海淀区上地三街9号A座A611,110106015407074,2012-11-21,郑海洋,5037万元人民币,91110108057332516A,thgc.crsc.cn
彤明高科,江苏彤明高科汽车电器有限公司,彤明高科是一家汽车零部件制造商，主要服务于汽车整车制造厂商，旗下主要产品包括汽车前后组合灯、前雾灯、昼行灯、车声控制模块、智能中控、前后保险杠、车载控制面板、组合灯灯罩等。,江苏彤明高科汽车电器有限公司,,321181000081683,未知,姚纪荣,11500万元人民币,91321181760511823C,www.xiniudata.com
盛光天翼,宁波盛光天翼科技有限公司,盛光天翼目前已发展为集网络游戏、网页游戏、娱乐应用软件等多产品交互的专业研发运营团队。公司坚持以用户需求为导向，致力于打造拥有“完美感官享受”的数字互动娱乐体验，为中国乃至全世界用户构建极致数字互动娱乐王国，隶属于宁波盛光天翼科技有限公司。,宁波盛光天翼科技有限公司,宁波市鄞州区五乡镇项家村,330212000044697,2008-04-14,张宇,1000万元人民币,913302126747026159,www.sgty.com
核桃村,深圳核桃村智能科技有限公司,"""核桃村是一个智能硬件营销推广平台， 致力于智能硬件产品的渠道拓展和品牌推广,打造一流的硬件营销平台。""",深圳核桃村智能科技有限公司,深圳市龙华新区民治街道民福北路宝山工业区5幢201,440301107926876,2013-09-10,黄挺,1000万元人民币,914403000789882902,www.ihetaocun.com
